Species,Reserva El Copal (Tausito),PN Tapanti--Sector Tapanti,Hotel Quelitales,Hotel Bougainvillea,HOTEL GEMA DEL BOSQUE,"PN Los Quetzales--KM 76, Providencia road",San Gerardo de Dota,Max Freq,Tax Sort
Highland Tinamou,1.56,0.0,0.2865,0.0,0.0,0.0,0.463,1.56,42.0
Great Tinamou,14.85,0.0,0.2865,0.0,0.0,0.0,0.0,14.85,61.0
Little Tinamou,2.34,0.5102,0.0,0.0,0.0,0.0,0.0,2.34,78.0
Gray-headed Chachalaca,4.7,4.09,12.05,1.44,0.0,0.0,0.0,12.05,833.0
Crested Guan,39.11,1.02,3.15,0.0,0.0,0.0,0.0,39.11,887.0
Black Guan,5.48,28.61,12.04,0.0,14.85,10.11,42.22,42.22,913.0
Buffy-crowned Wood-Partridge,0.0,0.5102,0.0,0.0959,0.0,0.0,1.85,1.85,987.0
Black-breasted Wood-Quail,2.34,9.19,5.73,0.0,0.0,0.0,0.0,9.19,1136.0
Spotted Wood-Quail,0.0,1.53,0.0,0.0,48.22,4.05,21.32,48.22,1140.0
Ruddy Pigeon,32.83,8.68,2.87,0.4794,7.41,22.26,18.08,32.83,1950.0
Short-billed Pigeon,60.2,2.55,2.3,0.5762,0.0,0.0,0.0,60.2,1962.0
Ruddy Ground Dove,3.91,7.66,2.58,0.3835,0.0,0.0,0.0,7.66,2230.0
Ruddy Quail-Dove,4.69,0.0051,0.0,0.0,0.0,0.0,0.0,4.69,2275.0
Gray-chested Dove,6.26,1.02,0.0,0.0,0.0,0.0,0.0,6.26,2308.0
Buff-fronted Quail-Dove,2.34,2.56,0.2865,0.0,22.26,0.0,4.64,22.26,2333.0
Purplish-backed Quail-Dove,3.12,0.5102,0.0,0.0,0.0,0.0,0.0,3.12,2334.0
Chiriqui Quail-Dove,1.56,1.53,0.2865,0.0,0.0,0.0,0.0,1.56,2344.0
Squirrel Cuckoo,32.09,18.38,16.34,15.35,0.0,0.0,0.4722,32.09,3169.0
Dusky Nightjar,0.0,0.0,0.0,0.0,14.85,5.08,6.94,14.85,3562.0
Common Potoo,3.15,0.0,0.0,0.0,0.0,0.0,0.0,3.15,3698.0
Chestnut-collared Swift,0.7812,0.5102,1.15,0.0,3.7,1.01,0.9259,3.7,3785.0
White-collared Swift,23.45,26.03,12.04,1.44,11.11,15.19,17.16,26.03,3790.0
Gray-rumped Swift,1.56,0.0,0.0,0.0,0.0,0.0,0.0,1.56,3826.0
White-necked Jacobin,10.16,1.02,0.0,0.0959,0.0,0.0,0.0,10.16,4172.0
White-tipped Sicklebill,0.7812,1.53,0.5731,0.0,0.0,0.0,0.0,1.53,4176.0
Band-tailed Barbthroat,1.56,0.5102,0.0,0.0,0.0,0.0,0.0,1.56,4190.0
Green Hermit,42.24,40.32,62.5,0.0959,3.7,1.01,0.9306,62.5,4205.0
Long-billed Hermit,3.12,1.53,1.15,0.0,0.0,0.0,0.0,3.12,4218.0
Stripe-throated Hermit,43.01,4.08,10.61,0.0,0.0,0.0,0.0,43.01,4255.0
Green-fronted Lancebill,3.13,12.27,30.97,0.0,0.0,1.01,2.78,30.97,4282.0
Brown Violetear,7.03,0.0,0.8596,0.0,0.0,0.0,0.463,7.03,4302.0
Lesser Violetear,0.0,1.54,2.29,0.2876,74.15,42.49,71.9,74.15,4304.0
Purple-crowned Fairy,35.16,17.36,5.73,0.0,0.0,0.0,0.0,35.16,4313.0
Green-breasted Mango,1.56,2.04,0.8596,0.6721,0.0,0.0,0.0,2.04,4333.0
Green Thorntail,40.67,7.66,27.82,0.0,0.0,0.0,0.0,40.67,4383.0
Green-crowned Brilliant,23.48,6.13,53.32,0.0,0.0,1.01,5.12,53.32,4651.0
Talamanca Hummingbird,0.0,1.02,0.0,0.0,74.19,34.39,55.2,74.19,4669.0
Plain-capped Starthroat,0.0,0.0,0.0,1.82,0.0,0.0,0.0,1.82,4674.0
Fiery-throated Hummingbird,0.0,0.0,0.5731,0.0,14.85,63.7,13.46,63.7,4681.0
White-bellied Mountain-gem,3.12,53.1,38.7,0.0,0.0,0.0,0.0,53.1,4701.0
Purple-throated Mountain-gem,0.0,51.05,12.9,0.0,0.0,0.0,0.0,51.05,4702.0
White-throated Mountain-gem,0.0,2.04,1.44,0.0,70.48,17.21,51.03,70.48,4707.0
Magenta-throated Woodstar,0.0,0.5102,0.0,0.0959,0.0,2.02,0.0,2.02,4739.0
Volcano Hummingbird,0.0,0.0,0.0,0.0,70.48,58.64,57.55,70.48,4795.0
Scintillant Hummingbird,0.0,1.02,0.5731,0.0,11.11,9.11,47.77,47.77,4799.0
Garden Emerald,1.57,2.56,0.0,0.0,0.0,0.0,0.0,2.56,4856.0
Violet-headed Hummingbird,3.91,2.55,1.43,0.0,0.0,0.0,0.0,3.91,4873.0
Violet Sabrewing,7.04,6.13,61.66,0.001,0.0,1.01,2.32,61.66,4894.0
Bronze-tailed Plumeleteer,8.59,0.5102,0.0,0.0,0.0,0.0,0.0,8.59,4905.0
Crowned Woodnymph,43.0,2.04,1.43,0.0,0.0,0.0,0.0,43.0,4918.0
Snowcap,78.2,1.02,0.5731,0.0,0.0,0.0,0.0,78.2,4947.0
Coppery-headed Emerald,1.56,3.57,18.63,0.0,0.0,0.0,0.0,18.63,4950.0
Stripe-tailed Hummingbird,3.13,9.7,35.84,0.0,3.7,2.02,31.54,35.84,4957.0
Black-bellied Hummingbird,1.56,42.91,49.88,0.0,0.0,0.0,0.0,49.88,4961.0
Blue-vented Hummingbird,1.56,0.5102,0.2894,9.4,0.0,0.0,0.0,9.4,4998.0
Snowy-bellied Hummingbird,0.0,0.0,0.0,0.0,0.0,1.01,5.56,5.56,5013.0
